"PID","Q26_First.Click","Q26_Last.Click","Q26_Page.Submit","Q26_Click.Count","Q28_First.Click","Q28_Last.Click","Q28_Page.Submit","Q28_Click.Count","attCheck1","attCheck2","BZSH_1","BZSH_2","BZSH_3","BZSH_4","BZSH_5","BZSH_6","BZSH_7","spend_1","spend_2","spend_3","spend_4","spend_5","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13","PANAS_14","PANAS_15","PANAS_16","PANAS_17","PANAS_18","PANAS_19","PANAS_20","PANAS_21","subjHap_1","subjHap_2","subjHap_3","subjHap_4","ideo_general","ideo_social","ideo_economic","dob","gender","gender_3_TEXT","race","race_5_TEXT","edu","income","feedback","condition","age","passCheck","BZSH_5R","BZSH_6R","subjHap_4R","BZSH","PANASpos","PANASneg","subjHap","ideo","totalDonation","donated"
87,NA,NA,NA,NA,29.072,30.113,195.259,3,3,1,1,2,7,2,7,7,2,0,100,0,0,0,4,1,4,1,4,1,1,1,4,3,1,1,1,4,1,4,4,1,5,1,5,7,7,7,1,3,2,6,1991,"man","","latinx","",4,7,"none thanks",2,29,1,1,1,7,2.28571428571429,3.81818181818182,1,7,3.66666666666667,100,1
88,0,0,143.893,0,NA,NA,NA,NA,2,2,1,1,1,5,5,5,5,0,40,20,40,0,2,1,2,1,2,1,1,1,2,1,2,4,1,2,2,2,4,1,4,1,3,6,5,3,2,1,1,1,2000,"woman","","white","",3,1,"",1,20,1,3,3,6,2.71428571428571,2.54545454545455,1.2,5,1,100,1
89,65.775,212.963,214.301,39,NA,NA,NA,NA,2,2,6,5,4,7,5,2,7,0,50,0,50,0,2,4,1,4,1,1,3,2,1,2,4,2,1,1,3,2,1,3,2,2,1,2,2,2,5,3,3,2,1961,"woman","","white","",4,3,"",1,59,1,3,6,3,5.42857142857143,1.45454545454545,2.7,2.25,2.66666666666667,100,1
90,NA,NA,NA,NA,0,0,219.352,0,3,1,1,1,1,2,6,6,2,10,0,0,0,90,4,2,4,1,4,1,1,1,4,3,2,2,1,4,2,4,4,1,3,1,4,6,6,6,2,4,3,5,1973,"man","","white","",4,8,"This was a great study.",2,47,1,2,2,6,1.57142857142857,3.63636363636364,1.3,6,4,10,1
92,1.977,159.571,159.981,96,NA,NA,NA,NA,2,2,4,3,3,1,3,4,5,0,70,30,0,0,5,3,3,4,2,4,3,3,2,3,5,3,3,4,3,2,2,3,5,3,3,3,4,6,6,2,5,4,1989,"woman","","white","",2,2,"",1,31,1,5,4,2,3.57142857142857,3.09090909090909,3.4,3.75,3.66666666666667,100,1
94,NA,NA,NA,NA,0,0,216.173,0,3,1,3,4,2,5,6,6,2,15,15,15,15,40,4,1,3,2,2,1,1,1,3,3,1,4,2,3,1,3,1,1,3,1,4,3,2,4,5,2,2,2,2002,"woman","","other","White / Latino",2,6,"Currently a senior in high school",2,18,1,2,2,3,2.85714285714286,3,1.2,3,2,60,1
95,115.899,116.853,149.14,2,NA,NA,NA,NA,2,2,2,3,5,7,3,4,5,0,0,0,0,100,4,2,1,2,4,1,1,1,1,2,1,3,1,2,1,2,4,2,3,1,2,4,3,3,4,2,2,2,2000,"woman","","white","",3,11,"",1,20,1,5,4,4,4.42857142857143,2.54545454545455,1.3,3.5,2,0,0
96,NA,NA,NA,NA,12.837,119.695,210.027,4,3,1,5,5,6,6,6,5,6,22,12,13,31,22,4,3,4,2,4,1,3,2,3,4,4,2,3,4,2,4,4,3,4,2,4,6,5,5,6,5,4,5,1992,"man","","white","",5,11,"NIce",2,28,1,2,3,2,4.71428571428571,3.72727272727273,2.5,4.5,4.66666666666667,78,1
97,0,0,158.377,0,NA,NA,NA,NA,2,2,1,1,1,7,2,5,7,0,100,0,0,0,3,2,3,2,3,2,1,1,2,2,3,4,2,2,2,3,3,2,1,2,3,5,4,4,3,1,1,1,1998,"woman","","white","",3,7,"",1,22,1,6,3,5,3.71428571428571,2.63636363636364,1.9,4.5,1,100,1
98,6.63,132.872,141.195,59,NA,NA,NA,NA,2,2,4,4,5,4,5,4,4,0,0,0,0,100,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,3,4,4,4,5,4,3,4,2001,"man","","black","",3,1,"",1,19,1,3,4,3,4,1.54545454545455,1.1,3.75,3.66666666666667,0,0
99,22.106,25.545,143.627,4,NA,NA,NA,NA,2,2,4,3,5,5,3,4,5,0,0,0,0,100,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,3,1,1,1,1,4,4,3,5,4,4,4,1997,"man","","asian","",4,11,"",1,23,1,5,4,3,4.42857142857143,1.54545454545455,1,3.5,4,0,0
100,11.721,172.697,190.381,28,NA,NA,NA,NA,2,1,7,6,2,7,3,5,7,0,5,0,0,95,4,4,1,4,1,2,3,1,2,2,4,1,1,3,2,2,4,5,1,2,1,1,1,1,1,4,4,3,1973,"woman","","white","",3,1,"",1,47,1,5,3,7,5.28571428571429,2,2.8,2.5,3.66666666666667,5,1
101,NA,NA,NA,NA,5.266,149.157,150.053,16,3,1,1,1,2,5,5,6,2,0,100,0,0,0,2,2,1,1,1,2,1,1,1,2,2,1,1,3,2,2,4,1,1,1,3,5,3,2,2,1,1,1,1981,"woman","","white","",3,2,"",2,39,1,3,2,6,2.28571428571429,1.90909090909091,1.4,4,1,100,1
102,0,0,198.006,0,NA,NA,NA,NA,2,3,5,6,5,6,3,5,5,0,70,0,10,20,4,3,4,1,3,1,1,1,3,3,1,3,1,2,1,4,4,1,4,1,3,5,4,4,3,5,5,5,1982,"man","","white","",3,5,"no issues. thanks",1,38,1,5,3,5,5,3.36363636363636,1.2,4.5,5,80,1
103,7.184,120.901,145.666,6,NA,NA,NA,NA,2,1,6,6,7,7,6,7,6,9,29,27,17,18,4,4,5,4,5,5,5,4,5,4,3,4,5,5,3,5,4,5,5,4,4,7,7,7,7,7,6,7,1978,"man","","white","",4,2,"good survey.",1,42,1,2,1,1,5,4.54545454545455,4.2,5.5,6.66666666666667,82,1
104,0.318,262.868,267.085,76,NA,NA,NA,NA,2,1,7,7,7,7,6,7,7,15,16,22,21,26,4,1,3,1,3,1,1,1,3,2,1,4,1,3,1,3,4,1,4,1,3,5,5,4,1,2,3,4,1984,"man","","black","",4,8,"NA. ",1,36,1,2,1,7,5.42857142857143,3.27272727272727,1,5.25,3,74,1
105,0,0,142.814,0,NA,NA,NA,NA,2,2,2,2,2,2,6,6,2,0,50,0,50,0,4,1,4,1,4,1,1,1,4,4,2,4,1,4,2,4,4,3,4,1,5,6,5,6,2,3,2,3,1998,"man","","white","",3,12,"",1,22,1,2,2,6,2,4.09090909090909,1.4,5.75,2.66666666666667,100,1
107,6.91,7.198,460.458,2,NA,NA,NA,NA,2,1,2,2,2,7,6,6,3,0,0,0,0,100,3,1,1,1,1,1,1,1,2,1,1,3,1,1,2,1,3,2,1,1,3,5,2,1,7,1,1,2,1992,"man","","white","",4,5,"",1,28,1,2,2,1,2.85714285714286,1.81818181818182,1.2,2.25,1.33333333333333,0,0
108,NA,NA,NA,NA,97.9,134.494,141.354,5,3,1,1,1,1,5,6,6,2,10,20,20,50,0,3,1,2,1,3,1,1,1,2,3,2,4,1,3,1,3,4,1,2,1,4,5,5,5,2,2,1,3,1980,"man","","white","",5,6,"",2,40,1,2,2,6,2,3,1.1,5.25,2,100,1
109,NA,NA,NA,NA,0,0,145.853,0,3,1,1,2,2,6,6,6,4,2,3,2,2,91,3,1,1,1,3,1,1,1,3,2,1,4,1,2,1,2,5,1,3,1,4,7,6,7,1,2,2,2,1985,"woman","","latinx","",3,2,"",2,35,1,2,2,7,2.71428571428571,2.90909090909091,1,6.75,2,9,1
110,NA,NA,NA,NA,0,0,149.61,0,3,1,2,2,2,5,6,6,3,0,0,0,0,100,3,2,1,2,1,2,2,1,1,1,1,3,2,1,2,2,3,1,2,2,1,2,2,2,6,2,2,2,1996,"man","","asian","",4,2,"",2,24,1,2,2,2,2.57142857142857,1.72727272727273,1.7,2,2,0,0
111,0,0,147.462,0,NA,NA,NA,NA,2,2,3,1,1,5,4,6,4,0,5,0,0,95,2,1,1,1,3,1,1,1,2,3,1,4,1,1,2,4,4,1,2,1,3,5,5,5,1,2,2,3,1971,"woman","","white","",4,9,"",1,49,1,4,2,7,2.85714285714286,2.63636363636364,1.1,5.5,2.33333333333333,5,1
112,3.073,139.013,143.368,74,NA,NA,NA,NA,2,1,1,1,1,6,5,5,6,0,100,0,0,0,4,1,3,2,4,1,1,2,3,2,2,5,1,3,1,3,4,2,5,1,4,4,4,4,3,2,2,1,1963,"man","","white","",4,10,"No comments ",1,57,1,3,3,5,3,3.63636363636364,1.4,4.25,1.66666666666667,100,1
113,NA,NA,NA,NA,0,0,150.105,0,3,1,3,4,5,6,5,5,5,0,0,0,0,100,3,1,1,1,2,1,1,1,1,1,3,3,1,2,1,2,3,2,3,1,3,5,4,4,4,4,4,4,1995,"woman","","white","",3,4,"",2,25,1,3,3,4,4.14285714285714,2.18181818181818,1.3,4.25,4,0,0
115,1.883,137.912,141.375,53,NA,NA,NA,NA,2,2,1,1,1,1,1,1,7,0,0,0,0,100,4,1,4,1,3,1,1,1,1,4,1,4,1,1,1,3,5,1,3,1,5,7,6,7,1,2,2,2,1995,"woman","","white","",2,4,"",1,25,1,7,7,7,3.57142857142857,3.36363636363636,1,6.75,2,0,0
116,NA,NA,NA,NA,0,0,178.52,0,3,1,3,3,5,5,6,6,3,0,100,0,0,0,4,1,2,1,3,1,1,1,4,1,1,4,1,3,1,2,4,1,3,1,4,6,5,4,2,5,4,5,1985,"woman","","white","",4,10,"",2,35,1,2,2,6,3.28571428571429,3.09090909090909,1,5.25,4.66666666666667,100,1
117,139.388,139.598,141.897,2,NA,NA,NA,NA,2,2,1,1,1,3,6,6,4,30,30,30,10,0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,3,2,1,1,3,5,5,6,2,2,2,2,1996,"man","","white","",4,7,"",1,24,1,2,2,6,2,1.54545454545455,1.2,5.5,2,100,1
118,NA,NA,NA,NA,0.97,136.574,141.071,9,3,1,2,2,1,5,5,5,3,0,0,0,50,50,1,2,1,1,1,2,2,1,1,1,2,1,1,1,2,1,3,1,1,2,2,2,2,2,6,1,1,1,1995,"man","","white","",3,8,"",2,25,1,3,3,2,2.71428571428571,1.27272727272727,1.6,2,1,50,1
119,NA,NA,NA,NA,35.565,167.785,169.301,9,3,1,1,2,1,2,6,5,3,0,100,0,0,0,4,2,1,1,3,1,1,1,1,2,1,2,1,3,1,2,4,1,1,1,4,5,5,4,1,3,2,4,1971,"man","","white","",3,5,"na",2,49,1,2,3,7,2,2.45454545454545,1.1,5.25,3,100,1
120,NA,NA,NA,NA,0,0,147.865,0,3,1,1,1,1,5,6,7,1,0,0,0,0,100,3,1,2,1,1,2,1,1,3,1,1,3,2,2,1,1,3,2,1,1,4,6,5,5,3,1,1,1,1993,"woman","","white","",5,9,"",2,27,1,2,1,5,1.71428571428571,2.18181818181818,1.3,5.25,1,0,0
121,NA,NA,NA,NA,3.114,126.51,141.061,15,3,1,1,1,3,4,6,6,2,0,0,0,0,100,2,1,1,1,2,2,1,1,1,1,2,3,1,1,1,3,4,1,3,1,2,5,4,4,4,2,2,2,1990,"man","","white","",5,6,"",2,30,1,2,2,4,2.14285714285714,2.09090909090909,1.2,4.25,2,0,0
122,NA,NA,NA,NA,3.047,121.506,146.814,6,3,1,2,2,2,5,7,6,2,0,0,0,0,100,4,3,3,2,4,1,2,2,3,3,3,3,1,4,2,4,3,3,4,2,4,5,4,7,4,2,2,3,2000,"woman","","white","",3,3,"",2,20,1,1,2,4,2.28571428571429,3.54545454545455,2.1,5,2.33333333333333,0,0
123,13.996,249.182,250.008,42,NA,NA,NA,NA,2,2,6,6,2,5,5,3,5,20,20,20,20,20,5,1,4,1,5,2,1,1,3,4,1,4,1,3,1,3,4,1,4,1,3,7,5,6,2,6,4,5,1995,"woman","","black","",5,7,"",1,25,1,3,5,6,4.57142857142857,3.81818181818182,1.1,6,5,80,1
124,21.361,144.695,148.585,10,NA,NA,NA,NA,2,2,3,5,3,5,3,3,6,0,100,0,0,0,3,2,1,2,1,1,2,1,1,1,2,3,1,2,2,1,3,2,1,2,2,4,4,4,4,3,3,4,1982,"woman","","white","",5,4,"",1,38,1,5,5,4,4.57142857142857,1.72727272727273,1.7,4,3.33333333333333,100,1
125,155.024,155.529,156.647,2,NA,NA,NA,NA,2,1,1,4,1,5,7,7,5,0,0,0,0,100,4,1,3,1,4,1,1,1,3,2,1,2,1,3,1,3,4,1,4,1,4,4,4,4,2,4,4,4,1992,"man","","white","",4,1,"",1,28,1,1,1,6,2.57142857142857,3.27272727272727,1,4.5,4,0,0
126,35.152,163.344,164.82,34,NA,NA,NA,NA,2,1,2,2,1,4,5,6,3,0,0,0,0,100,4,3,2,2,3,3,2,2,4,3,2,4,1,4,3,4,4,1,3,2,4,5,4,4,3,6,5,6,1985,"man","","white","",2,8,"",1,35,1,3,2,5,2.42857142857143,3.54545454545455,2.1,4.5,5.66666666666667,0,0
127,0,0,608.348,0,NA,NA,NA,NA,2,2,1,2,3,7,4,5,6,50,0,0,50,0,3,1,2,1,4,1,1,1,3,3,1,3,1,3,1,4,3,1,4,1,3,4,3,4,4,2,2,1,1988,"man","","latinx","",3,6,"",1,32,1,4,3,4,3.71428571428571,3.18181818181818,1,3.75,1.66666666666667,100,1
128,NA,NA,NA,NA,1.69,23.574,147.214,4,3,1,4,4,6,4,5,5,3,0,0,0,0,100,3,1,2,3,4,5,1,1,3,2,3,4,3,4,3,3,3,1,3,1,2,5,5,5,5,4,3,4,1988,"man","","asian","",5,9,"none.",2,32,1,3,3,3,3.85714285714286,3,2.2,4.5,3.66666666666667,0,0
130,0.699,121.729,141.431,31,NA,NA,NA,NA,2,2,5,4,4,6,3,4,6,0,0,0,0,100,3,1,2,1,2,1,1,1,2,1,1,3,1,3,1,3,3,1,1,1,3,4,4,4,2,3,3,3,1994,"man","","latinx","",4,4,"N/A",1,26,1,5,4,6,4.85714285714286,2.36363636363636,1,4.5,3,0,0
131,0,0,171.197,0,NA,NA,NA,NA,2,1,2,5,1,6,6,5,3,20,35,35,10,0,5,1,5,1,5,1,1,1,5,5,1,4,1,5,1,5,4,1,4,1,5,5,4,4,5,4,4,4,1992,"man","","black","",2,1,"",1,28,1,2,3,3,3.14285714285714,4.72727272727273,1,4,4,100,1
132,31.221,183.065,190.216,7,NA,NA,NA,NA,2,2,4,3,3,5,3,3,3,0,10,0,0,90,2,2,2,3,3,1,1,2,3,3,2,3,2,2,1,3,4,1,3,1,3,3,3,4,4,4,4,4,1986,"man","","white","",4,10,"",1,34,1,5,5,4,4,2.81818181818182,1.6,3.5,4,10,1
133,NA,NA,NA,NA,5.69,142.585,143.847,21,3,1,1,1,1,5,7,7,1,80,20,0,0,0,5,1,3,1,4,1,1,1,5,3,1,5,1,4,1,5,5,1,3,1,5,4,3,4,4,NA,NA,NA,1996,"woman","","black","",3,3,"",2,24,1,1,1,4,1.57142857142857,4.27272727272727,1,3.75,NA,100,1
134,112.5,118.007,150.499,8,NA,NA,NA,NA,2,2,3,5,5,7,5,5,6,0,0,0,0,100,2,2,2,3,3,1,3,1,3,2,2,4,2,3,4,3,3,2,4,1,2,5,2,3,5,4,3,5,2000,"man","","white","",3,5,"",1,20,1,3,3,3,4.57142857142857,2.81818181818182,2.1,3.25,4,0,0
135,NA,NA,NA,NA,33.556,190.412,191.451,15,3,1,2,2,2,6,5,6,3,0,0,0,0,100,3,1,1,1,3,2,1,1,1,1,2,5,2,1,1,3,5,1,2,1,1,6,5,7,1,3,4,1,1975,"man","","white","",2,5,"To whomever reads these comments: I hope you've had a good week, and I hope you have a great weekend!",2,45,1,3,2,7,2.85714285714286,2.36363636363636,1.3,6.25,2.66666666666667,0,0
136,35.9,37.118,192.397,2,NA,NA,NA,NA,2,1,2,2,3,5,6,5,3,0,20,0,15,65,4,2,3,1,2,1,1,1,4,2,1,4,1,2,3,2,4,3,3,1,4,6,7,5,1,3,2,4,1995,"man","","white","",4,8,"",1,25,1,2,3,7,2.85714285714286,3.09090909090909,1.5,6.25,3,35,1
137,NA,NA,NA,NA,11.923,143.935,144.675,4,3,1,5,5,5,5,5,5,5,10,10,10,10,60,3,1,3,1,3,1,1,1,3,3,1,3,1,3,1,3,3,1,3,1,3,5,5,5,5,5,5,5,1997,"man","","white","",4,5,"",2,23,1,3,3,3,4.42857142857143,3,1,4.5,5,40,1
138,0,0,149.278,0,NA,NA,NA,NA,2,1,2,2,3,5,5,5,4,25,25,25,25,0,3,1,1,1,3,1,1,1,3,1,2,4,1,2,1,4,4,1,2,1,3,6,3,5,5,1,1,2,1964,"woman","","white","",4,11,"Thanks!",1,56,1,3,3,3,3.14285714285714,2.72727272727273,1.1,4.25,1.33333333333333,100,1
139,4.466,136.764,200.605,32,NA,NA,NA,NA,2,2,3,1,4,5,5,6,5,100,0,0,0,0,2,1,2,1,2,1,1,2,2,4,3,1,1,2,1,2,3,1,2,1,2,3,3,3,4,3,3,4,1979,"man","","white","",4,4,"",1,41,1,3,2,4,3.28571428571429,2.18181818181818,1.3,3.25,3.33333333333333,100,1
140,4.962,167.472,650.046,2,NA,NA,NA,NA,2,1,1,2,1,5,4,4,4,50,50,0,0,0,3,1,2,1,3,1,1,1,3,1,1,4,1,2,1,3,4,1,2,1,3,3,3,3,5,3,3,3,1978,"woman","","white","",3,7,"",1,42,1,4,4,3,3,2.72727272727273,1,3,3,100,1
141,0,0,172.92,0,NA,NA,NA,NA,2,2,6,5,4,7,3,3,7,0,0,0,0,100,4,2,3,2,4,2,2,2,2,2,2,3,2,3,3,4,5,2,2,2,3,5,5,4,3,2,2,2,1964,"other","Bi-natured","white","",3,2,"",1,56,1,5,5,5,5.57142857142857,3.18181818181818,2.1,4.75,2,0,0
142,NA,NA,NA,NA,29.431,212.458,212.731,16,3,1,6,7,7,5,6,4,5,0,0,0,0,100,3,1,3,1,4,2,2,1,4,3,3,5,2,3,3,5,5,2,5,2,4,5,6,4,6,4,4,4,1994,"man","","white","",4,6,"",2,26,1,2,4,2,5.14285714285714,4,1.9,4.25,4,0,0
143,NA,NA,NA,NA,140.864,146.568,155.114,2,3,1,3,3,7,1,5,6,5,0,0,0,0,100,3,1,5,2,3,1,1,1,4,3,1,4,2,1,3,3,2,4,4,2,4,6,5,5,3,5,6,6,1997,"man","","white","",3,3,"",2,23,1,3,2,5,3.42857142857143,3.27272727272727,1.8,5.25,5.66666666666667,0,0
144,0,0,142.159,0,NA,NA,NA,NA,2,2,1,1,1,6,6,6,5,25,0,25,0,50,3,1,1,1,4,1,1,1,2,2,1,3,1,1,1,3,4,1,3,1,3,5,4,3,5,6,6,7,1984,"man","","white","",5,9,"",1,36,1,2,2,3,2.57142857142857,2.63636363636364,1,3.75,6.33333333333333,50,1
145,NA,NA,NA,NA,0,0,144.461,0,3,1,1,1,2,6,6,7,4,50,0,0,0,50,5,2,1,1,1,1,1,1,1,1,2,5,1,1,2,5,5,2,1,1,1,1,1,1,4,7,7,7,1962,"woman","","white","",3,11,"",2,58,1,2,1,4,2.42857142857143,2.45454545454545,1.4,1.75,7,50,1
146,11.986,36.468,407.356,13,NA,NA,NA,NA,2,1,2,2,2,5,5,5,2,25,25,0,0,50,4,4,4,1,5,2,2,1,4,3,1,4,2,4,1,4,4,1,4,1,4,6,6,5,6,4,4,4,1997,"woman","","latinx","",4,8,"",1,23,1,3,3,2,2.71428571428571,4,1.6,4.75,4,50,1
147,1.829,148.464,149.34,65,NA,NA,NA,NA,2,2,6,3,3,6,5,6,5,0,0,0,0,100,5,1,1,1,1,1,1,1,5,1,2,5,1,1,1,5,5,1,3,1,4,5,5,5,6,2,1,2,1996,"woman","","latinx","",4,5,"",1,24,1,3,2,2,4,3.27272727272727,1.1,4.25,1.66666666666667,0,0
148,27.939,54.014,142.018,3,NA,NA,NA,NA,2,1,3,3,4,6,3,4,5,0,0,0,0,100,3,2,2,1,4,1,1,1,4,2,1,3,1,3,2,3,5,2,4,1,4,6,5,5,3,5,3,6,1995,"man","","white","",3,8,"",1,25,1,5,4,5,4.28571428571429,3.36363636363636,1.3,5.25,4.66666666666667,0,0
151,NA,NA,NA,NA,0,0,147.215,0,3,1,2,3,2,6,4,4,3,0,0,0,0,100,3,1,1,1,1,1,1,1,2,1,1,3,1,3,1,2,4,1,2,1,3,5,5,6,2,4,3,5,1975,"man","","white","",3,3,"no comments",2,45,1,4,4,6,3.42857142857143,2.27272727272727,1,5.5,4,0,0
152,99.506,99.506,159.046,1,NA,NA,NA,NA,2,2,1,1,2,5,4,4,4,0,100,0,0,0,3,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,4,1,2,1,3,7,7,6,1,2,2,2,1997,"woman","","white","",4,4,"",1,23,1,4,4,7,3,2,1,6.75,2,100,1
153,NA,NA,NA,NA,133.629,142.79,144.301,3,3,1,1,2,1,6,7,7,3,0,75,0,0,25,5,2,2,2,2,2,1,1,3,1,1,5,3,2,4,3,4,2,3,1,2,4,3,3,2,4,2,6,1993,"woman","","white","",3,8,"In the two comprehension questions following the article, the volunteer was reffered to as Jeff Flake: ""Does helping others make Jeff Flake happy?"" I am relatively certain his name was Jeff Evans in the article, and I thought it may have been a trick question. Just thought I should point this out.",2,27,1,1,1,6,2.14285714285714,2.90909090909091,1.9,4,4,75,1
154,16.548,174.917,175.868,16,NA,NA,NA,NA,2,3,5,2,1,5,6,7,5,0,100,0,0,0,2,1,2,2,4,1,1,2,2,2,2,4,1,2,2,4,4,2,4,1,2,5,5,5,1,5,4,4,1992,"woman","","white","",5,2,"Interesting study. I'd be interested in seeing what you find out!",1,28,1,2,1,7,3,2.90909090909091,1.5,5.5,4.33333333333333,100,1
156,61.513,175.628,181.194,7,NA,NA,NA,NA,2,2,4,7,4,7,4,4,7,0,0,0,0,100,1,3,1,3,1,1,1,3,1,1,3,2,1,1,3,1,1,3,1,1,1,4,4,4,3,4,4,7,1989,"woman","","white","",4,10,"",1,31,1,4,4,5,5.28571428571429,1.09090909090909,2.2,4.25,5,0,0
157,NA,NA,NA,NA,6.819,91.249,296.548,4,3,1,5,5,5,6,5,6,6,25,12,15,44,4,4,3,4,4,3,3,3,3,4,4,4,4,4,4,4,3,3,3,4,4,3,6,5,6,5,1,1,2,1982,"man","","white","",5,9,"Superb survey",2,38,1,3,2,3,4.57142857142857,3.63636363636364,3.5,5,1.33333333333333,96,1
158,10.293,140.795,141.895,44,NA,NA,NA,NA,2,2,3,4,3,6,5,5,5,10,10,10,10,60,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,7,1,1,1,1991,"man","","white","",3,3,"n/a",1,29,1,3,3,1,3.85714285714286,1.36363636363636,1.2,1,1,40,1
159,NA,NA,NA,NA,10.954,390.248,394.772,37,3,1,5,2,3,4,6,6,4,0,0,0,0,100,4,1,4,1,4,3,1,1,3,3,1,4,1,4,1,5,5,2,4,1,4,4,5,3,4,4,3,3,1992,"woman","","white","",4,7,"",2,28,1,2,2,4,3.14285714285714,4,1.3,4,3.33333333333333,0,0
160,49.486,49.486,187.501,1,NA,NA,NA,NA,2,1,4,4,2,5,4,4,4,19,0,0,0,81,5,1,3,1,4,1,1,1,3,4,1,5,1,3,1,3,5,1,3,1,4,5,5,4,2,4,4,4,1980,"woman","","white","",2,5,"",1,40,1,4,4,6,3.85714285714286,3.81818181818182,1,5,4,19,1
161,NA,NA,NA,NA,47.419,242.938,266.249,26,3,1,3,2,2,6,5,5,3,25,0,0,0,75,2,1,1,1,3,1,1,1,2,2,1,2,1,2,1,1,3,1,2,1,3,5,6,6,2,5,3,6,2001,"man","","white","",3,14,"",2,19,1,3,3,6,3.14285714285714,2.09090909090909,1,5.75,4.66666666666667,25,1
162,NA,NA,NA,NA,86.542,100.109,207.565,3,3,1,1,1,1,4,7,5,2,50,50,0,0,0,3,1,2,1,3,1,1,1,3,3,1,2,1,2,1,3,2,2,2,1,3,6,5,5,2,1,1,1,1983,"woman","","white","",4,5,"I'm not alert because I just woke up :D",2,37,1,1,3,6,1.85714285714286,2.54545454545455,1.1,5.5,1,100,1
163,0,0,148.992,0,NA,NA,NA,NA,2,2,5,2,2,7,5,5,6,0,0,0,0,100,4,1,4,1,5,2,1,1,4,4,1,4,1,4,1,5,5,2,4,1,4,6,6,5,2,6,6,6,1976,"woman","","white","",5,5,"I used to be a social worker so can totally relate to this story, got burned out and had to leave that profession",1,44,1,3,3,6,4,4.27272727272727,1.2,5.75,6,0,0
164,NA,NA,NA,NA,373.163,397.182,403.072,4,3,1,5,5,6,5,6,5,4,0,0,0,100,0,4,1,5,1,4,1,1,1,5,5,1,4,1,5,1,4,5,1,5,1,5,6,6,6,3,3,3,2,1985,"man","","white","",5,11,"Its really a good study for me.",2,35,1,2,3,5,4.28571428571429,4.63636363636364,1,5.75,2.66666666666667,100,1
165,NA,NA,NA,NA,10.064,246.664,252.971,27,3,1,3,3,3,5,5,5,4,5,5,10,10,70,3,1,2,1,4,1,1,1,2,3,1,4,1,2,1,4,4,1,2,1,3,6,6,6,5,6,6,6,1973,"woman","","black","",3,3,"no. everything was good.",2,47,1,3,3,3,3.42857142857143,3,1,5.25,6,30,1
166,NA,NA,NA,NA,1.917,387.633,388.753,103,3,1,2,7,5,5,7,7,7,0,30,0,0,70,5,3,3,1,4,1,1,1,5,2,1,4,1,2,1,5,1,1,4,1,3,5,7,4,6,2,5,6,1991,"man","","white","",5,10,"",2,29,1,1,1,2,4,3.45454545454545,1.2,4.5,4.33333333333333,30,1
167,12.692,25.426,142.981,3,NA,NA,NA,NA,2,2,1,3,1,6,5,4,4,0,50,0,0,50,5,1,4,1,4,1,1,1,3,5,1,5,1,4,1,4,4,1,5,1,4,6,5,6,1,4,3,5,1963,"man","","white","",5,5,"Thank you.",1,57,1,3,4,7,3.14285714285714,4.27272727272727,1,6,4,50,1
169,14.379,133.517,142.519,16,NA,NA,NA,NA,2,1,1,1,1,4,4,4,4,0,100,0,0,0,3,1,3,1,5,1,1,1,3,3,1,4,1,5,1,5,4,1,3,1,3,6,6,6,1,4,4,4,1977,"woman","","white","",3,8,"",1,43,1,4,4,7,2.71428571428571,3.72727272727273,1,6.25,4,100,1
171,0,0,194.466,0,NA,NA,NA,NA,2,1,2,6,2,6,4,5,6,0,0,0,0,100,2,1,2,1,2,1,1,1,2,1,1,2,1,2,1,2,4,1,2,1,2,5,5,5,2,5,6,4,1962,"man","","white","",2,2,"",1,58,1,4,3,6,4.14285714285714,2.09090909090909,1,5.25,5,0,0
173,NA,NA,NA,NA,0,0,142.969,0,3,1,1,1,1,5,7,7,2,0,100,0,0,0,3,1,1,1,3,1,1,1,2,2,1,5,1,3,1,3,5,1,2,1,4,5,3,4,4,6,6,6,1971,"woman","","white","",3,4,"",2,49,1,1,1,4,1.71428571428571,3,1,4,6,100,1
174,16.642,78.376,145.86,3,NA,NA,NA,NA,2,1,6,2,1,6,3,4,6,0,0,0,0,100,3,3,3,2,4,1,2,2,3,4,2,4,2,2,3,3,4,2,3,1,3,5,5,5,3,1,1,1,1984,"man","","white","",4,9,"i relate to jeff a lot, i burnt myself out helping",1,36,1,5,4,5,4.28571428571429,3.27272727272727,2,5,1,0,0
175,8.346,159.201,160.866,23,NA,NA,NA,NA,2,1,1,2,3,5,4,5,6,0,0,0,0,100,1,3,2,3,2,1,1,2,1,1,4,2,1,1,3,2,2,1,2,1,1,2,1,1,3,4,4,4,1972,"woman","","white","",2,3,"",1,48,1,4,3,5,3.42857142857143,1.54545454545455,2,2.25,4,0,0
