"PID","Q26_First.Click","Q26_Last.Click","Q26_Page.Submit","Q26_Click.Count","Q28_First.Click","Q28_Last.Click","Q28_Page.Submit","Q28_Click.Count","attCheck1","attCheck2","BZSH_1","BZSH_2","BZSH_3","BZSH_4","BZSH_5","BZSH_6","BZSH_7","spend_1","spend_2","spend_3","spend_4","spend_5","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13","PANAS_14","PANAS_15","PANAS_16","PANAS_17","PANAS_18","PANAS_19","PANAS_20","PANAS_21","ideo_general","ideo_social","ideo_economic","dob","gender","gender_3_TEXT","race","race_5_TEXT","edu","income","reason_charity","reason_keep","feedback","condition","age","passCheck1","passCheck2","BZSH_5R","BZSH_6R","BZSH","PANASpos","PANASneg","ideo","totalDonation","donated"
224,31.442,92.736,205.077,4,NA,NA,NA,NA,2,2,2,4,2,6,5,5,5,0,0,0,0,100,4,1,3,1,4,2,1,1,2,2,2,4,2,2,2,4,4,1,2,1,3,2,2,3,1990,"woman","","white","",5,7,"","because my day job requires me to sacrifice a lot for others for little pay and I am doing this survey to reach a financial goal, so I feel I have already given a lot of myself to others","",1,31,1,1,3,3,3.57142857142857,3.09090909090909,1.4,2.33333333333333,0,0
225,NA,NA,NA,NA,6.273,177.579,191.785,6,3,1,2,2,3,6,6,6,5,0,50,0,50,0,4,1,3,1,3,1,1,1,2,3,1,4,1,4,1,4,4,1,4,2,4,2,3,2,1967,"man","","white","",3,9,"It was unexpected money. It felt right to give it to charity and to help people in need with it.","","",2,54,1,1,2,2,3.14285714285714,3.54545454545455,1.1,2.33333333333333,100,1
226,NA,NA,NA,NA,0,0,103.886,0,3,1,4,2,4,4,4,4,4,20,20,20,20,20,4,2,4,2,4,2,2,2,4,2,2,4,2,4,4,4,4,2,3,2,4,1,1,1,1994,"man","","other","White-Asian",5,9,"I didn't need the extra $1. ","","",2,27,1,1,4,4,3.71428571428571,3.72727272727273,2.2,1,80,1
227,1.73,105.757,109.671,19,NA,NA,NA,NA,2,2,2,3,4,6,3,3,3,0,0,100,0,0,4,4,3,1,4,1,2,1,3,4,2,3,1,4,2,3,4,1,4,2,4,1,1,1,1990,"man","","white","",4,13,"I have a child, and the pediatric AIDS blurb spoke to me a bit. Felt like I could afford to lose this ""free"" dollar to help out. Appreciate the offer to do so.","","Best of luck on your study!!",1,31,1,1,5,5,4,3.63636363636364,1.7,1,100,1
228,0,0,123.437,0,NA,NA,NA,NA,2,2,2,3,1,5,5,5,5,100,0,0,0,0,3,1,1,1,3,1,1,1,2,2,1,3,1,2,1,3,4,1,2,1,3,6,6,6,1952,"man","","white","",5,14,"worthwhile cause","","none",1,69,1,1,3,3,3.14285714285714,2.54545454545455,1,6,100,1
229,6.69,101.513,101.844,28,NA,NA,NA,NA,2,1,2,4,4,6,5,6,6,10,10,10,10,60,4,1,3,1,4,1,1,1,4,4,1,4,1,3,1,4,4,1,4,1,4,4,4,5,1989,"man","","white","",4,11,"TO help others","","",1,32,1,0,3,2,3.85714285714286,3.81818181818182,1,4.33333333333333,40,1
231,NA,NA,NA,NA,0,0,148.1,0,3,1,1,2,1,3,7,7,2,0,0,0,0,100,3,4,2,3,3,2,4,3,3,1,3,4,2,2,2,4,4,5,2,4,1,1,1,1,1987,"woman","","other","mixed white/latino",4,3,"","because I'm in severe debt and job-hunting ","",2,34,1,1,1,1,1.57142857142857,2.63636363636364,3.2,1,0,0
232,50.957,52.656,106.064,5,NA,NA,NA,NA,2,2,2,1,4,5,5,6,5,10,10,10,0,70,4,2,2,1,4,1,2,1,3,5,1,4,1,4,3,5,4,2,4,2,4,4,3,5,2000,"woman","","white","",3,14,"At first I was just going to tithe, but then I felt that the people in these organizations could use that money more than I could, so I gave some more. I also have personal connections to two of the topics (leukemia and HIV/AIDS). ","","",1,21,1,1,3,2,3.14285714285714,3.90909090909091,1.6,4,30,1
233,0,0,162.858,0,NA,NA,NA,NA,2,1,1,2,1,6,5,5,6,0,60,12,28,0,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3,1,2,1,1,1,1,1,1998,"woman","","white","",4,2,"They need it more than I do","","",1,23,1,0,3,3,3.14285714285714,1.81818181818182,1,1,100,1
234,NA,NA,NA,NA,72.928,72.928,255.29,1,3,1,1,3,6,6,7,6,5,0,0,0,0,100,4,1,4,1,5,1,3,1,1,5,1,5,1,4,5,5,4,4,5,3,4,3,3,3,1991,"man","","black","",5,13,"","I donate to charities that i have personal knowledge of","",2,30,1,1,1,2,3.42857142857143,4.18181818181818,2.1,3,0,0
235,14.773,98.648,101.751,8,NA,NA,NA,NA,2,1,7,1,1,6,5,4,7,0,25,0,0,75,3,2,2,1,1,2,1,1,1,1,1,4,2,1,1,1,4,1,1,1,4,1,1,1,2000,"man","","white","",2,2,"I think homelessness is a serious problem","","",1,21,1,0,3,4,4.14285714285714,2.09090909090909,1.3,1,25,1
236,2.862,155.115,156.139,12,NA,NA,NA,NA,2,2,6,4,5,7,2,3,6,25,25,25,25,0,5,1,4,1,4,1,1,1,5,5,1,5,1,5,1,4,5,1,2,1,5,3,2,4,1985,"woman","","white","",2,5,"I feel that it’s the moral thing to do since I easily just had the opportunity to help others in need.","","",1,36,1,1,6,5,5.57142857142857,4.45454545454545,1,3,100,1
237,179.491,184.459,278.202,2,NA,NA,NA,NA,2,2,2,2,2,6,5,3,5,25,40,15,20,0,3,1,2,1,2,1,1,1,3,2,1,3,1,2,1,2,4,1,2,1,3,2,2,2,1988,"woman","","white","",5,11,"I thought I was going to make a certain amount in completing this survey, so when the bonus came up, it was just icing on top of the cake,  but could much better be used by those charities.","","",1,33,1,1,3,5,3.57142857142857,2.54545454545455,1,2,100,1
238,101.837,108.927,564.5,2,NA,NA,NA,NA,2,1,5,5,4,7,4,5,6,25,25,25,25,0,3,2,2,1,2,1,2,1,2,2,4,2,1,2,1,3,3,2,2,2,3,2,3,4,1984,"man","","black","",5,13,"It was what I deemed fair","","",1,37,1,0,4,3,4.85714285714286,2.36363636363636,1.7,3,100,1
239,NA,NA,NA,NA,5.145,12.075,107.995,3,3,1,1,1,1,7,6,6,5,0,0,0,0,100,4,1,1,1,2,1,2,1,4,2,1,5,2,2,1,4,4,2,2,2,3,5,3,6,1984,"man","","white","",3,11,"","I prefer to donate to charity's when I decide to, and to ones I spend time researching. I dont like to donate when a third party is involved since I am not sure how exactly the money is divided up between the charity and the third party.","",2,37,1,1,2,2,2.71428571428571,3,1.4,4.66666666666667,0,0
240,4.765,89.661,101.881,6,NA,NA,NA,NA,2,2,7,1,2,7,5,5,4,0,0,100,0,0,3,1,1,1,3,1,1,1,3,3,1,4,1,3,1,4,4,1,3,1,3,4,3,5,1987,"woman","","white","",4,11,"I don't need the extra money as much as someone else does.","","",1,34,1,1,3,3,3.85714285714286,3.09090909090909,1,4,100,1
241,NA,NA,NA,NA,1.746,86.931,132.996,9,3,1,7,7,2,6,6,6,2,0,0,0,0,100,4,5,4,5,5,1,2,4,5,4,4,4,1,5,5,5,4,5,1,1,5,1,2,2,1993,"man","","asian","",4,14,"","I felt no inclination towards any of the listed charities.  I think I can use the bonus better - derive more utility.","Next time, the bonus should be bigger - at least double.",2,28,1,1,2,2,4,4.18181818181818,3.3,1.66666666666667,0,0
242,NA,NA,NA,NA,7.675,143.631,145.296,44,3,1,1,2,1,4,5,6,3,45,30,25,0,0,1,3,3,3,4,1,5,2,3,4,5,5,1,5,4,5,5,4,1,4,3,6,6,6,1982,"woman","","white","",2,4,"they need it more than me","","",2,39,1,1,3,2,2.28571428571429,3.54545454545455,3.2,6,100,1
243,13.855,207.087,211.506,52,NA,NA,NA,NA,2,2,1,2,1,5,6,6,2,0,100,0,0,0,3,1,1,1,2,1,1,1,1,1,1,4,1,1,1,1,4,1,2,1,3,1,1,1,1993,"man","","white","",4,6,"Because I don't need it as much as a homeless person does, and homelessness is an issue very near and dear to my heart.","","",1,28,1,1,2,2,2.14285714285714,2.09090909090909,1,1,100,1
244,0,0,175.898,0,NA,NA,NA,NA,2,2,1,2,1,6,4,2,5,0,0,0,0,100,5,1,2,1,3,1,1,1,5,1,2,5,2,4,1,4,5,1,5,1,3,1,1,1,1985,"woman","","white","",4,7,"","The amounts feel so small as to actually do much good, even if allocated all at once to one charity, but let alone if split among them. I already donate to health and social organizations to try and offset the rampant inequalities inherent in the shameful US healthcare system and general atmosphere of wealth equality, the small amount from this survey doesn't feel like it would make a significant difference. Whereas if I have that money additionally, it adds to my financial security and when I feel financially secure, I'm very willing to donate in larger amounts to charities and organizations that I feel will have the most impact.","",1,36,1,1,4,6,3.57142857142857,3.81818181818182,1.2,1,0,0
245,NA,NA,NA,NA,142.262,151.003,151.919,4,3,1,1,1,1,4,5,7,1,0,25,0,75,0,4,4,2,3,1,5,2,1,2,1,3,4,5,3,5,2,5,2,2,4,1,1,1,1,1976,"man","","white","",3,2,"I gave the bonus to charitable causes because I was given the opportunity to do so.","","",2,45,1,1,3,1,1.71428571428571,2.45454545454545,3.4,1,100,1
246,NA,NA,NA,NA,0,0,140.095,0,3,1,2,2,2,6,6,7,4,0,5,0,10,85,4,2,3,2,3,1,1,1,3,2,1,4,2,4,1,4,4,1,3,1,3,1,1,1,1987,"woman","","white","",3,3,"I liked the blurbs I read about but I wasn't sure if I trusted the charities to do what they say they do so I kept most of it myself.  I prefer to research more into charities before donating.","","No other comments",2,34,1,1,2,1,2.71428571428571,3.36363636363636,1.3,1,15,1
247,NA,NA,NA,NA,9.043,98.886,107.639,34,3,1,1,1,1,5,7,7,1,50,0,0,0,50,5,1,3,1,3,1,1,1,5,3,1,5,1,3,1,3,5,1,3,1,5,4,3,5,1994,"woman","","white","",3,5,"Because there was a charity I personally care about and think does important work.","","",2,27,1,1,1,1,1.57142857142857,3.90909090909091,1,4,50,1
248,NA,NA,NA,NA,48.777,146.106,219.062,5,3,1,1,1,1,5,7,7,1,25,25,25,25,0,5,1,2,1,5,1,1,1,5,4,1,5,1,4,1,4,5,1,1,1,4,1,1,1,1967,"woman","","white","",3,6,"Because I don't get many chances to donate, I have no personal income, so it feels good to be able to help.","","thank you",2,54,1,1,1,1,1.57142857142857,4,1,1,100,1
249,0,0,146.262,0,NA,NA,NA,NA,2,2,1,1,1,3,5,4,3,80,0,20,0,0,4,3,4,1,3,2,1,1,3,3,1,1,1,4,2,5,3,3,4,2,4,2,2,2,1981,"man","","white","",4,6,"This charities need the money more than I do.","","",1,40,1,1,3,4,2.28571428571429,3.45454545454545,1.7,2,100,1
250,NA,NA,NA,NA,0,0,117.39,0,3,1,1,2,6,6,6,6,3,100,0,0,0,0,3,1,4,1,3,1,1,1,2,4,1,3,1,3,1,3,4,2,3,1,4,4,3,4,1994,"man","","white","",5,7,"I felt inspired to","","",2,27,1,1,2,2,3.14285714285714,3.27272727272727,1.1,3.66666666666667,100,1
251,0,0,140.679,0,NA,NA,NA,NA,2,1,3,2,2,4,5,5,4,0,0,0,100,0,4,1,2,1,2,2,1,1,3,1,1,2,1,2,1,4,4,1,2,1,3,2,2,2,1985,"man","","white","",3,2,"It was an easy way to help out.","","",1,36,1,0,3,3,3,2.63636363636364,1.1,2,100,1
252,0,0,125.92,0,NA,NA,NA,NA,2,1,5,4,3,4,4,4,5,0,0,0,0,100,4,1,4,1,4,1,1,1,4,4,1,5,1,4,1,5,5,1,4,1,4,2,2,2,1998,"woman","","white","",2,1,"","I would want to donate personally","",1,23,1,0,4,4,4.14285714285714,4.27272727272727,1,2,0,0
253,NA,NA,NA,NA,100.768,100.768,101.609,1,3,1,1,1,1,5,7,7,1,0,0,0,0,100,3,1,1,1,4,3,3,1,3,1,2,4,2,5,1,4,4,1,1,1,5,1,1,1,1997,"woman","","white","",4,6,"","I haven't been doing very well financially lately :(","",2,24,1,1,1,1,1.57142857142857,3.18181818181818,1.6,1,0,0
254,NA,NA,NA,NA,4.544,95.753,101.853,4,3,1,1,1,3,6,7,7,2,0,0,0,0,100,4,1,2,1,2,2,1,1,4,2,1,3,1,3,1,4,4,1,3,1,3,2,1,3,1986,"man","","white","",4,9,"","Although I agree that donating time or money can be a big help, I saw the value of $1.00 to myself as being much more useful than $1.00 split among multiple charities. I don't see much utility in me providing $0.25 to a charity.","",2,35,1,1,1,1,2.14285714285714,3.09090909090909,1.1,2,0,0
255,NA,NA,NA,NA,0,0,504.54,0,3,1,1,1,1,5,6,6,1,0,0,0,0,100,1,2,1,1,1,1,1,1,1,1,2,4,1,1,3,4,4,1,3,1,1,1,1,1,1996,NA,"","black","",3,6,"","While I live with my parents, I am unemployed and have to use my own money for things.","N/A",2,25,1,1,2,2,1.85714285714286,2,1.4,1,0,0
256,0,0,166.838,0,NA,NA,NA,NA,2,2,3,3,2,6,3,4,6,0,0,0,0,100,3,1,1,1,2,1,1,1,1,1,1,3,1,1,1,2,3,1,2,1,1,3,3,5,1982,"man","","white","",4,12,"","I complete these types of tasks to make extra money for my family not to donate to charity.","",1,39,1,1,5,4,4.14285714285714,1.81818181818182,1,3.66666666666667,0,0
257,NA,NA,NA,NA,3.16,213.392,213.936,4,3,1,1,1,2,3,6,4,1,13,13,12,12,50,4,1,2,1,3,1,1,1,4,3,1,4,1,4,1,4,4,1,2,1,3,4,4,4,1986,"man","","white","",2,6,"I like to be charitable when I can.","","THANK YOU :)",2,35,1,1,2,4,2,3.36363636363636,1,4,50,1
258,0,0,166.449,0,NA,NA,NA,NA,2,1,2,5,2,6,5,5,6,10,10,10,20,50,2,1,1,1,1,2,1,1,2,2,1,3,1,2,2,3,4,1,2,2,3,1,1,1,1991,"man","","latinx","",4,7,"50/50","","",1,30,1,0,3,3,3.85714285714286,2.27272727272727,1.3,1,50,1
259,0,0,116.506,0,NA,NA,NA,NA,2,2,2,2,2,7,4,5,5,0,0,0,0,100,4,1,1,1,3,1,1,1,1,2,1,4,1,1,1,3,4,1,3,1,3,2,2,2,1966,"woman","","white","",4,10,"","I donate money to causes I select.   ","",1,55,1,1,4,3,3.57142857142857,2.63636363636364,1,2,0,0
260,NA,NA,NA,NA,0,0,200.363,0,3,1,6,5,4,6,5,5,6,9,6,7,0,78,4,1,3,1,3,3,1,1,4,2,1,1,1,4,4,4,3,1,3,1,4,4,2,6,1998,"woman","","white","",4,3,"to help people in need","","",2,23,1,1,3,3,4.71428571428571,3.18181818181818,1.5,4,22,1
262,0,0,138.889,0,NA,NA,NA,NA,2,1,1,1,1,6,4,5,5,0,50,0,50,0,3,1,2,1,4,1,1,1,3,2,1,3,1,3,1,3,4,1,2,1,3,2,1,3,1969,"woman","","white","",4,6,"It was unexpected money so why not. ","","",1,52,1,0,4,3,3,2.90909090909091,1,2,100,1
263,NA,NA,NA,NA,57.412,93.773,329.996,6,3,1,1,1,1,6,6,6,5,0,0,0,0,100,1,5,1,3,1,5,4,4,1,1,5,4,5,1,3,1,4,5,1,4,1,1,1,1,1983,"man","","white","",4,11,"","I am working toward a financial goal.","",2,38,1,1,2,2,2.57142857142857,1.54545454545455,4.3,1,0,0
264,147.509,147.509,149.611,1,NA,NA,NA,NA,2,1,1,1,1,4,6,6,3,25,25,25,25,0,4,1,2,1,4,1,1,1,4,4,1,4,1,4,1,4,4,1,4,1,4,5,4,5,1963,"man","","white","",4,11,"I enjoy giving to charity","","",1,58,1,0,2,2,2,3.81818181818182,1,4.66666666666667,100,1
265,13.152,13.152,103.365,1,NA,NA,NA,NA,2,2,1,2,2,6,6,6,5,0,0,0,0,100,5,1,4,1,3,1,1,1,4,4,1,4,1,4,1,4,5,1,4,1,4,2,2,5,1984,"man","","white","",5,11,"","I think most charities are scams and too much goes to the C level employees.","",1,37,1,1,2,2,2.85714285714286,4.09090909090909,1,3,0,0
266,NA,NA,NA,NA,33.445,110.317,112.807,46,3,1,2,3,4,5,7,6,3,0,75,0,0,25,2,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,3,1,1,1,1,4,5,4,1996,"man","","white","",1,2,"I've been homeless before, I know what it's like.","","",2,25,1,1,1,2,2.85714285714286,1.72727272727273,1,4.33333333333333,75,1
267,0,0,131.583,0,NA,NA,NA,NA,2,2,7,5,6,7,4,4,7,80,0,0,20,0,4,3,4,2,4,1,2,2,4,4,4,5,2,4,5,4,5,4,2,2,3,2,2,2,1995,"man","","asian","",2,6,"Giving a small amount would be more beneficial to someone is in a dire situation","","No comment!",1,26,1,1,4,4,5.71428571428571,3.90909090909091,2.7,2,100,1
268,0,0,125.106,0,NA,NA,NA,NA,2,2,1,3,1,5,5,4,4,20,20,20,20,20,1,2,2,1,2,2,2,1,2,1,4,2,1,1,2,5,2,2,3,2,2,2,2,2,1995,"woman","","white","",4,2,"I like to donate","","",1,26,1,1,3,4,3,2.09090909090909,1.9,2,80,1
269,0,0,803.624,0,NA,NA,NA,NA,2,2,2,2,2,5,5,6,4,0,0,0,0,100,4,1,2,1,3,1,1,1,4,2,1,4,1,4,1,4,4,1,4,1,4,2,2,2,1988,"man","","white","",4,14,"","i have been donating most of my bonuses lately through prolific, decided to take on for myself this time","",1,33,1,1,3,2,2.85714285714286,3.54545454545455,1,2,0,0
270,0,0,121.148,0,NA,NA,NA,NA,2,2,5,2,2,7,1,7,6,0,0,0,0,100,3,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,3,1,2,1,2,2,2,2,1998,"man","","white","",3,2,"","I need it and don't really trust charities. Never know specifically were YOUR money went. ","none",1,23,1,1,7,1,4.28571428571429,1.81818181818182,1,2,0,0
271,NA,NA,NA,NA,3.415,353.955,355.122,7,3,1,2,3,2,4,6,6,3,20,20,20,20,20,3,2,2,2,2,3,2,1,3,2,3,3,2,3,3,3,4,2,4,2,2,2,2,3,1972,NA,"","latinx","",5,6,"it felt right","","",2,49,1,1,2,2,2.57142857142857,2.81818181818182,2.2,2.33333333333333,80,1
272,NA,NA,NA,NA,0,0,170.823,0,3,1,1,2,1,5,7,7,1,0,100,0,0,0,4,1,3,2,2,1,1,1,2,4,2,3,1,4,3,4,2,2,3,2,3,2,2,2,1982,"woman","","white","",3,4,"To feel better and others need it more.","","",2,39,1,1,1,1,1.71428571428571,3.09090909090909,1.6,2,100,1
273,0,0,111.916,0,NA,NA,NA,NA,2,2,6,3,2,6,5,6,4,0,0,0,0,100,3,1,1,1,1,2,1,1,1,3,2,4,1,3,1,2,4,1,1,1,4,3,3,4,1995,"woman","","white","",4,12,"","I don't let corporations/organizations do so because of their tax benefit to write it off. ","",1,26,1,1,3,2,3.71428571428571,2.45454545454545,1.2,3.33333333333333,0,0
275,0,0,142.568,0,NA,NA,NA,NA,2,1,5,4,2,5,6,6,7,0,0,0,45,55,5,1,2,1,3,1,1,1,4,4,1,4,1,4,1,1,4,1,4,1,5,5,4,5,1951,"woman","","white","",2,2,"I'm on Social Security and this is a way for me to give.","","Interesting survey.",1,70,1,0,2,2,3.85714285714286,3.63636363636364,1,4.66666666666667,45,1
276,45.377,84.491,114,5,NA,NA,NA,NA,2,2,4,5,2,6,5,3,7,25,25,0,0,50,3,1,2,2,1,3,3,1,1,1,3,3,2,2,3,1,4,4,1,4,2,2,2,1,1994,"man","","latinx","",2,4,"Because it would feel wrong not to","","",1,27,1,1,3,5,4.57142857142857,1.90909090909091,2.6,1.66666666666667,50,1
277,0,0,101.75,0,NA,NA,NA,NA,2,2,5,5,4,6,5,4,4,10,12,13,10,55,3,2,2,2,5,3,3,3,4,2,2,1,4,1,3,2,3,4,2,1,2,3,2,3,2000,"man","","white","",2,3,"I wanted them to have some of the money, and not just take it for myself selfishly.","","",1,21,1,1,3,4,4.42857142857143,2.45454545454545,2.7,2.66666666666667,45,1
278,NA,NA,NA,NA,8.589,63.045,102.701,5,3,1,1,1,3,4,6,6,1,0,40,0,35,25,4,1,2,1,3,1,1,1,3,2,1,3,1,2,1,3,4,1,2,1,3,1,1,1,1987,"man","","asian","",5,4,"It was an option","","",2,34,1,1,2,2,2,2.81818181818182,1,1,75,1
279,NA,NA,NA,NA,6.924,165.213,171.785,4,3,1,1,2,4,7,6,6,2,0,0,0,100,0,4,1,1,1,1,1,1,1,2,1,2,4,1,2,1,2,5,2,3,1,2,3,2,5,1982,"woman","","white","",3,11,"I don't need it","","none",2,39,1,1,2,2,2.85714285714286,2.45454545454545,1.2,3.33333333333333,100,1
280,NA,NA,NA,NA,161.698,210.947,214.298,6,3,1,1,1,1,4,6,6,4,0,50,0,50,0,3,1,3,1,2,1,1,1,3,2,1,3,1,3,1,2,3,1,2,1,3,1,1,1,1990,"woman","","asian","",5,14,"I didn't expect the bonus, and I felt inspired by the text to give the money to an organization who can provide help.","","",2,31,1,1,2,2,2.14285714285714,2.63636363636364,1,1,100,1
281,34.578,116.429,117.373,3,NA,NA,NA,NA,2,2,2,5,2,6,5,4,4,62,0,20,18,0,4,1,2,2,4,1,1,1,2,3,3,4,1,4,1,4,4,1,3,1,3,2,1,3,1988,"woman","","white","",4,10,"I always like to give as much as I can to charity because their missions are so important.","","",1,33,1,1,3,4,3.71428571428571,3.36363636363636,1.3,2,100,1
282,2.344,100.1,101.155,30,NA,NA,NA,NA,2,2,6,7,6,6,1,1,7,0,43,31,0,26,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,4,4,4,1998,"woman","","black","",2,3,"I like helping people.","","",1,23,1,1,7,7,6.57142857142857,2.09090909090909,1,4,74,1
284,69.983,299.362,300.34,34,NA,NA,NA,NA,2,2,5,4,3,5,3,3,5,50,0,0,0,50,3,1,2,1,2,1,1,1,3,2,1,4,1,2,1,3,4,2,2,1,3,4,4,4,1962,"woman","","white","",2,4,"I want to help others","","",1,59,1,1,5,5,4.57142857142857,2.72727272727273,1.1,4,50,1
285,NA,NA,NA,NA,0,0,466.021,0,3,1,1,2,2,4,5,6,3,25,25,25,25,0,3,1,2,1,2,1,1,1,2,3,1,2,1,2,1,3,3,1,2,1,3,2,2,3,1990,"man","","white","",4,8,"It's the right thing to do.","","",2,31,1,1,3,2,2.42857142857143,2.45454545454545,1,2.33333333333333,100,1
286,6.869,129.682,130.87,9,NA,NA,NA,NA,2,2,2,4,4,6,5,6,3,0,0,100,0,0,4,1,4,1,4,1,1,1,4,4,1,4,1,4,1,4,4,1,4,1,4,2,2,2,1990,"man","","black","",4,12,"They deserve it. I am glad I gave it out.","","",1,31,1,1,3,2,3.42857142857143,4,1,2,100,1
287,0,0,103.391,0,NA,NA,NA,NA,2,2,1,2,1,5,4,4,5,0,50,50,0,0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1998,"woman","","white","",3,2,"Just thought ""why not?""","","",1,23,1,1,4,4,3.14285714285714,1.09090909090909,1.2,1,100,1
288,NA,NA,NA,NA,0,0,141.388,0,3,1,1,1,1,2,7,7,2,0,0,0,0,100,4,1,3,1,3,1,1,1,3,3,3,3,1,3,1,3,4,1,2,1,3,4,4,4,1978,"woman","","white","",4,7,"","really need extra money","Thanks!",2,43,1,1,1,1,1.28571428571429,3.09090909090909,1.2,4,0,0
290,0,0,255.297,0,NA,NA,NA,NA,2,2,5,3,5,5,5,5,5,0,0,0,0,100,5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,5,6,6,6,1971,"man","","white","",3,11,"","I donate enough already.","I hope your study goes well.",1,50,1,1,3,3,4.14285714285714,5,1,6,0,0
291,NA,NA,NA,NA,3.501,134.331,137.572,33,3,1,5,2,1,6,7,7,6,10,12,9,15,54,5,1,5,1,4,1,1,1,5,2,1,4,1,5,2,5,4,1,4,1,5,2,3,2,1985,"woman","","white","",4,8,"I choose to give because it is how I can best help others in need","","",2,36,1,1,1,1,3.14285714285714,4.36363636363636,1.1,2.33333333333333,46,1
292,NA,NA,NA,NA,1.274,97.348,100.899,27,3,1,2,2,3,5,5,6,3,0,0,0,0,100,3,1,1,1,2,1,1,1,3,1,1,1,1,2,2,1,3,1,1,1,3,3,3,3,1999,"man","","white","",3,5,"","I will be using the bonus/money from doing studies and surveys to go towards buying a home.","",2,22,1,1,3,2,2.85714285714286,1.90909090909091,1.1,3,0,0
293,70.148,70.148,134.923,1,NA,NA,NA,NA,2,2,5,4,5,5,4,5,4,25,25,25,25,0,3,3,3,2,3,3,3,1,3,3,2,2,1,3,4,4,4,2,3,2,4,4,5,5,1997,"man","","white","",4,9,"don't need it","","n/a",1,24,1,1,4,3,4.28571428571429,3.18181818181818,2.3,4.66666666666667,100,1
294,65.882,67.305,104.4,2,NA,NA,NA,NA,2,2,1,1,1,2,7,6,2,0,0,0,0,100,3,1,1,1,2,1,1,1,1,2,1,3,1,2,1,3,3,1,3,1,3,2,2,4,1974,"man","","white","",4,8,"","need money","",1,47,1,1,1,2,1.42857142857143,2.36363636363636,1,2.66666666666667,0,0
295,1.324,1.324,102.396,1,NA,NA,NA,NA,2,2,2,2,1,6,6,3,4,0,0,0,0,100,2,1,1,1,3,2,2,1,1,1,2,3,1,1,2,4,3,1,3,2,2,1,1,1,1992,"woman","","white","",4,8,"","I'm going through tough financial times and I donated already to a charity I care more about just yesterday.","",1,29,1,1,2,5,3.14285714285714,2.18181818181818,1.5,1,0,0
296,NA,NA,NA,NA,0,0,243.587,0,3,1,1,2,1,5,6,6,3,30,20,30,0,20,4,1,3,1,3,1,1,1,3,3,1,3,1,3,1,3,4,1,3,1,4,2,2,3,1971,"woman","","white","",4,12,"I think it's a nice thing to do.","","None.",2,50,1,1,2,2,2.28571428571429,3.27272727272727,1,2.33333333333333,80,1
298,NA,NA,NA,NA,29.504,99.185,142.909,2,3,1,3,5,4,5,4,4,6,25,25,0,0,50,4,1,3,1,2,1,1,1,4,3,1,4,1,2,1,4,4,1,3,1,3,4,5,3,1994,"man","","white","",3,5,"I believe in there being a balance in the world we must keep in order for the universe to work smoothly, sort of like riding a bike. I think keeping half for myself and giving half away helps maintain this balance and is also the fair way to distribute the bonus in my eyes..","","",2,27,1,1,4,4,4.42857142857143,3.27272727272727,1,4,50,1
299,145.473,145.473,147.813,1,NA,NA,NA,NA,2,1,2,6,6,5,3,3,6,10,10,10,10,60,4,2,4,2,4,2,1,1,4,4,2,2,1,4,1,4,4,2,4,2,4,1,1,1,1979,"man","","white","",5,11,"Because I love to donate.","","",1,42,1,0,5,5,5,3.81818181818182,1.6,1,40,1
300,NA,NA,NA,NA,54.314,65.266,142.765,2,3,1,1,2,2,6,6,6,4,20,20,20,20,20,4,2,3,1,2,1,1,1,3,3,1,3,2,3,2,5,5,2,2,1,3,1,1,1,1975,"man","","white","",4,5,"It felt like the right thing to do.","","None.",2,46,1,1,2,2,2.71428571428571,3.27272727272727,1.4,1,80,1
301,4.589,23.126,165.457,3,NA,NA,NA,NA,2,2,6,4,2,7,4,4,6,0,0,0,0,100,3,1,2,1,1,1,1,2,3,1,3,5,1,2,2,5,5,2,5,1,1,5,5,5,1981,"man","","white","",3,2,"","It's hard enough to come up with money for myself these days. I seriously can't afford to give anything out to anyone else at this time.","Thanks for the bonus, I suppose.",1,40,1,1,4,4,4.71428571428571,3,1.5,5,0,0
302,NA,NA,NA,NA,82.655,82.655,118.626,1,3,1,2,2,3,5,6,6,2,0,0,100,0,0,3,2,2,1,2,2,1,2,3,3,2,3,1,3,2,2,4,2,2,1,3,3,2,3,1997,"woman","","white","",4,4,"To help others","","",2,24,1,1,2,2,2.57142857142857,2.72727272727273,1.6,2.66666666666667,100,1
303,2.606,142.313,145.866,6,NA,NA,NA,NA,2,3,5,2,4,7,6,5,4,20,0,20,0,60,4,4,3,1,2,5,1,1,4,2,4,3,5,2,2,3,3,1,2,4,4,2,2,2,1995,"man","","white","",4,6,"I donated a part to organizations important to me, but I kept a few cents for me because I want to raise my standard of living. ","","",1,26,1,0,2,3,3.85714285714286,2.90909090909091,2.8,2,40,1
